"","Hz","Frontal","Central","Parietal","Occipital","logFrontal","logCentral","logParietal","logOccipital","logHz"
"1",0.997,179.176762155963,51.4549212121212,83.2981640909091,239.260931178707,5.18837281666328,3.94070610808722,4.42242650920494,5.47755471864652,-0.00300450902029872
"2",1.994,20.2971717889908,9.49377727272727,9.97355886363636,12.3990346007605,3.01048155560234,2.25063656006115,2.29993747751501,2.51761861480277,0.690142671539647
"3",2.991,5.12132706422018,4.06384696969697,3.93005704545455,4.21996197718631,1.63341359769742,1.40213005447296,1.36865394115866,1.43982611786191,1.09560777964781
"4",3.988,2.95697798165138,2.66275340909091,2.44376454545455,2.57675057034221,1.08416779466452,0.979360703629835,0.893539696837987,0.946529136276433,1.38328985209959
"5",4.985,2.03406605504587,1.99797234848485,1.80771363636364,1.88913574144487,0.710036772539501,0.692132840533421,0.592062862458429,0.636119444828523,1.6064334034138
"6",5.982,1.62257293577982,1.73193863636364,1.545385,1.57726235741445,0.484013121300598,0.54924138016136,0.435273070245315,0.455690659022968,1.78875496020776
"7",6.979,1.6124121559633,1.82708636363636,1.66856227272727,1.61791977186312,0.477731291281886,0.602722547015569,0.511962341094345,0.481141232649901,1.94290564003501
"8",7.976,1.85111582568807,2.280375,2.37451704545455,2.16077148288973,0.61578860628955,0.824339903126246,0.864794067526039,0.770465325931272,2.07643703265954
"9",8.973,2.14907844036697,3.11016022727273,3.99632681818182,3.48871406844106,0.765039117862996,1.13467424488742,1.38537564377377,1.24953320655088,2.19422006831592
"10",9.97,2.45803600917431,3.64310075757576,5.32833909090909,5.15911406844107,0.899362660822668,1.2928351755017,1.67303957440159,1.6407648725901,2.29958058397375
"11",10.967,2.44760298165138,3.31680416666667,5.32993590909091,6.51715057034221,0.895109170799401,1.19900171892949,1.67333921354465,1.8744372513249,2.39489076377807
"12",11.964,1.62567110091743,2.17970606060606,3.6433775,4.82863954372624,0.485920715706751,0.779190033125622,1.29291113604521,1.57456476002303,2.4819021407677
"13",12.961,1.03604518348624,1.33461553030303,1.92159363636364,2.27231673003802,0.0354107562899596,0.288643258092097,0.653154860703854,0.82079989696941,2.56194484844124
"14",13.958,0.810977293577982,0.985758333333333,1.30074045454545,1.45352053231939,-0.209515223312954,-0.0143440524601506,0.262933682737713,0.373988567039753,2.63605282059496
"15",14.955,0.715260779816514,0.866360606060606,0.974150227272727,1.02166615969582,-0.335108075768756,-0.143454052864855,-0.0261897497866421,0.0214347845005136,2.70504569208191
"16",15.952,0.658904357798165,0.797916287878788,0.835740227272727,0.838693536121673,-0.417176887336829,-0.225751589442505,-0.179437447112275,-0.175909912042249,2.76958421321948
"17",16.949,0.656114449541284,0.786273863636364,0.798704772727273,0.766400380228137,-0.421420039491276,-0.240450120221254,-0.224763897457175,-0.266050556203301,2.83020883503592
"18",17.946,0.648957339449541,0.772910606060606,0.766511818181818,0.715632699619772,-0.432388297181926,-0.257591882540632,-0.265905162417547,-0.334588233003409,2.88736724887587
"19",18.943,0.647213990825688,0.724358333333333,0.726082954545455,0.692290874524715,-0.435078296002893,-0.32246907349334,-0.320091008225495,-0.367749072773571,2.94143447014614
"20",19.94,0.646050458715596,0.687234848484849,0.682854090909091,0.668357794676806,-0.436877668783053,-0.375079198764244,-0.381474071941929,-0.402931628065435,2.99272776453369
"21",20.937,0.665184403669725,0.634768560606061,0.635839545454545,0.658797338403042,-0.40769097801501,-0.45449481801184,-0.452809034492894,-0.417339320755055,3.04151792870312
"22",21.934,0.686829587155963,0.599560984848485,0.563539318181818,0.616290874524715,-0.375669071160508,-0.511557583502363,-0.573518172990913,-0.484036227995678,3.08803794433802
"23",22.931,0.626382339449541,0.520029545454545,0.480852727272727,0.514879087452471,-0.46779432842978,-0.653869650838938,-0.732194236065316,-0.663823187529613,3.13248970690885
"24",23.928,0.55206123853211,0.453167045454545,0.405221363636364,0.439969961977186,-0.594096299488594,-0.791494467709269,-0.903321784314424,-0.82104882263388,3.17504932132765
"25",24.925,0.515263073394495,0.405940151515152,0.357935,0.403431558935361,-0.663077686618375,-0.901549540307539,-1.02740387331203,-0.907748424158703,3.2158713158479
"26",25.922,0.471303899082569,0.37520946969697,0.327503863636364,0.366060456273764,-0.752252172049184,-0.980270823104149,-1.11625542661348,-1.0049567781458,3.25509202900118
"27",26.919,0.44787752293578,0.355271212121212,0.309000681818182,0.356345247148289,-0.803235470248063,-1.03487380338298,-1.17441179555549,-1.03185522271745,3.29283235698403
"28",27.916,0.404263990825688,0.319197348484848,0.279011818181818,0.326551711026616,-0.905687171783827,-1.14194572019271,-1.27650113898327,-1.11916696293929,3.32920000115491
"29",28.913,0.383424082568807,0.295820454545455,0.266628409090909,0.315541825095057,-0.958613637174746,-1.21800258117916,-1.32189931618363,-1.15346403813249,3.36429132096618
"30",29.91,0.354824541284404,0.27793446969697,0.253792272727273,0.306502281368821,-1.03613186159155,-1.28036991359244,-1.37123917047239,-1.18253008034215,3.39819287264186
"31",30.907,0.337464220183486,0.255537121212121,0.239938863636364,0.30501711026616,-1.08629578856061,-1.36438759139028,-1.42737112293906,-1.18738740471492,3.43098269546485
"32",31.904,0.325169266055046,0.239356060606061,0.225180909090909,0.295706463878327,-1.12340941360044,-1.42980304236095,-1.490851159441,-1.21838799278086,3.46273139377943
"33",32.901,0.312346788990826,0.228285606060606,0.218437954545455,0.2830463878327,-1.16364120525924,-1.47715777578879,-1.52125326566139,-1.26214448016825,3.49350305244618
"34",33.898,0.304173165137615,0.218089393939394,0.201971590909091,0.265161596958175,-1.19015811758583,-1.52285023630411,-1.59962823053544,-1.32741583900612,3.52335601559586
"35",34.895,0.296279816513761,0.210409090909091,0.194316590909091,0.253370342205323,-1.21645094513736,-1.55870159130918,-1.63826653813761,-1.37290305738704,3.55234355246911
"36",35.892,0.291864908256881,0.199496212121212,0.183950227272727,0.247261216730038,-1.23146422672201,-1.61196002969356,-1.69309006191851,-1.39730994356277,3.58051442943581
"37",36.889,0.283577293577982,0.203081818181818,0.183711818181818,0.247774144486692,-1.26027055248729,-1.59414633591063,-1.69438695468878,-1.39523765547833,3.60791340362393
"38",37.886,0.284756422018349,0.200147348484848,0.178705,0.238279087452471,-1.25612112372796,-1.60870144127133,-1.72201887735368,-1.43431265595673,3.63458165070609
"39",38.883,0.286513990825688,0.195918939393939,0.177828181818182,0.242184410646388,-1.24996791042215,-1.63005427981787,-1.72693746554818,-1.41805581555655,3.66055713710935
"40",39.88,0.287545871559633,0.193269696969697,0.176779545454545,0.247567680608365,-1.2463728782211,-1.64366867189774,-1.73285182860196,-1.39607127735245,3.68587494509364
"41",40.877,0.285649770642202,0.191193560606061,0.172585,0.236360076045627,-1.25298879674494,-1.65446895777058,-1.75686541025073,-1.44239889076826,3.71056755768401
"42",41.874,0.286836467889908,0.192628409090909,0.170918636363636,0.238999619771863,-1.24884302391226,-1.64699228742756,-1.7665676464523,-1.4312933179646,3.73466510926307
"43",42.871,0.288799541284404,0.195062121212121,0.171982954545455,0.240831939163498,-1.24202246031513,-1.63443720083257,-1.76035990855948,-1.42365593662091,3.75819560667326
"44",43.868,0.280334174311927,0.187954924242424,0.164810454545455,0.226672623574144,-1.27177290775816,-1.67155310956829,-1.80295922574304,-1.48424848935125,3.78118512489796
"45",44.865,0.274732110091743,0.178875757575758,0.160565909090909,0.228208745247148,-1.29195880122422,-1.72106380589013,-1.82905077216361,-1.47749451955775,3.80365798075002
"46",45.862,0.27165,0.174488257575758,0.156129772727273,0.228804562737643,-1.30324080598461,-1.74589783143332,-1.85706774109317,-1.47488707764018,3.8256368874688
